David File 1 Voice files

Document created by hill73n
Document status: completed
Still to do: list the file sizes and max space reserved.

NETBIO01.DAT -> adxsnd.afs -> vo00104.afs

C4_0000.adx	""You." (weak)
C4_0001.adx	"You!" (strong)
C4_0002.adx	"You!" (urgent)
C4_0003.adx	"Hey there." (weak)
C4_0004.adx	"Hey there!" (medium)
C4_0005.adx	"Hey there!" (strong)
C4_0009.adx	"Hello there." (soft)
C4_0010.adx	"Hello there!" (medium)
C4_0011.adx	"Hello there!" (strong)
C4_0012.adx	"Hey." (soft)
C4_0013.adx	"Hey!" (medium)
C4_0014.adx	"Hey!" (strong)
C4_0015.adx	"Hey you." (soft)
C4_0016.adx	"Hey You!" (medium)
C4_0017.adx	"Hey you!" (strong)
C4_0018.adx	"Excuse me." (soft)
C4_0019.adx	"Excuse me!" (medium)
C4_0020.adx	"Excuse me!" (strong)

C4_0026.adx	"Listen to me!" 

C4_0028.adx	"Hello."

C4_0030.adx	"Listen."
C4_0039.adx	"What are you doing?"
C4_0040.adx	"What can we do?"
C4_0041.adx	"Huh uhnn." (clearing throat)
C4_0043.adx	"Somebody hear me!"

C4_0047.adx	"Anyone?"

C4_0048.adx	"Is someone there?"

C4_0051.adx	"Is...anyone there?"

C4_0057.adx	"Hey. Is someone there?"

C4_0059.adx	"If someone's there, tell me."

C4_0063.adx	"Somebody. Give me a hand."
C4_0064.adx	"Get in here!"
C4_0065.adx	"Kevin!"
C4_0066.adx	"Kevin!"
C4_0067.adx	"Kevin!"
C4_0068.adx	"Kevin!"
C4_0069.adx	"Kevin!"
C4_0070.adx	"Mark!"
C4_0071.adx	"Mark!"
C4_0072.adx	"Mark!"
C4_0073.adx	"Mark!"
C4_0074.adx	"Mark!"
C4_0075.adx	"Jim!"
C4_0076.adx	"Jim!"
C4_0077.adx	"Jim!"
C4_0078.adx	"Jim!"
C4_0079.adx	"Jim!"
C4_0080.adx	"You feelin' ok?"

C4_0082.adx	"You alright?"

C4_0084.adx	"You feelin' alright?"

C4_0086.adx	"You ok?"

C4_0090.adx	"What's wrong?"
C4_0091.adx	"What is it?"

C4_0093.adx	"Hang on!"
C4_0094.adx	"I'll help you!"
C4_0095.adx	"Take my hand!"
C4_0096.adx	"You alright?"
C4_0097.adx	"George!"
C4_0098.adx	"George!"
C4_0099.adx	"George!"
C4_0100.adx	"Yes."
C4_0101.adx	"Yes."
C4_0102.adx	"Yes."
C4_0103.adx	"Yes."
C4_0104.adx	"Yes."
C4_0105.adx	"Yes."
C4_0106.adx	"Yes."
C4_0107.adx	"Yes."
C4_0108.adx	"Yes."
C4_0109.adx	"Yes."
C4_0110.adx	"Somebody help!"
C4_0111.adx	"George!"
C4_0112.adx	"George!"
C4_0113.adx	"Help me, damn it!"
C4_0114.adx	"Help!" 
C4_0115.adx	"Alyssa!" 
C4_0116.adx	"Alyssa!"
C4_0117.adx	"Alyssa!"
C4_0118.adx	"Alyssa!"
C4_0119.adx	"Alyssa!"

C4_0123.adx	"I need your help."
C4_0124.adx	"I need your help!" (urgent)
C4_0125.adx	"You. Give me a hand!"
C4_0126.adx	"You...Give me a hand!"
C4_0127.adx	"Yoko!"
C4_0128.adx	"Yoko!"
C4_0129.adx	"Yoko!"
C4_0130.adx	"Yoko!"
C4_0131.adx	"Yoko!"

C4_0133.adx	"Somebody?!" (desperate)
C4_0134.adx	"Cindy!"
C4_0135.adx	"Cindy!"
C4_0136.adx	"Cindy!"
C4_0137.adx	"Cindy!"
C4_0138.adx	"Cindy!"
C4_0140.adx	"Yeah."
C4_0141.adx	"Yeah."
C4_0142.adx	"Yeah."
C4_0143.adx	"Yeah."
C4_0144.adx	"Yeah."
C4_0145.adx	"Yeah."
C4_0146.adx	"Yeah."
C4_0147.adx	"Help me!" (desperate)
C4_0148.adx	"Yeah."
C4_0149.adx	"Yeah."
C4_0150.adx	"Yeah."

C4_0155.adx	"Help us."

C4_0160.adx	"Go!"
C4_0161.adx	"Go!"
C4_0162.adx	"Go now!"
C4_0163.adx	"Go now!"
C4_0164.adx	"Hurry up!"
C4_0165.adx	"Hurry up!"
C4_0166.adx	"We have to go!"
C4_0167.adx	"We have to go!"
C4_0168.adx	"Come on!"
C4_0169.adx	"Come on!"
C4_0170.adx	"Move!"
C4_0171.adx	"Move!"
C4_0172.adx	"Let's go!"
C4_0173.adx	"Let's go!"
C4_0174.adx	"Hurry!"
C4_0175.adx	"Hurry!"
C4_0176.adx	"Let's hurry!"
C4_0178.adx	"Move it!"

C4_0185.adx	"Uh huh."
C4_0186.adx	"Uh huh."
C4_0187.adx	"Uh huh."
C4_0188.adx	"Uh huh."
C4_0189.adx	"Uh huh."
C4_0190.adx	"Uh huh."
C4_0191.adx	"Uh huh."
C4_0192.adx	"Uh huh."
C4_0193.adx	"Uh huh."
C4_0194.adx	"Uh huh."

C4_0200.adx	"Find anything?"

C4_0205.adx	"See anyone?"
C4_0206.adx	"Any progress?"

C4_0211.adx	"Give me something!" (desperate)

C4_0218.adx	"Got information."
C4_0219.adx	"Got something."
C4_0220.adx	"Got something strange."
C4_0221.adx	"Got lots of stuff."
C4_0222.adx	"Where were you?"

C4_0225.adx	"There's one thing."

C4_0227.adx	"Where's the exit?"
