Biohazard Outbreak File 2
David voice files = NETBIO01.DAT -> adxsnd.afs -> vo00204.afs

Document created by hill73n
Document status: incomplete
To do: list file size and max space reserved.

vo00204.afs	David

C04_000.adx	"Come on!"
C04_001.adx	"Let's move!it"
C04_002.adx	"This way! Come on!" 
C04_003.adx	"Go!"
C04_004.adx	"Get a move on!"
C04_005.adx	"Move it!"
C04_006.adx	"Help!"
C04_007.adx	"Damn!. Help me!"
C04_008.adx	"Help! Over here!"
C04_009.adx	"Thanks."
C04_010.adx	"Thank you."
C04_011.adx	"Thanks man."
C04_012.adx	"Wait!"
C04_013.adx	"Wait!" (stronger)
C04_014.adx	"Wait!" (forceful)
C04_015.adx	"Yeah."
C04_016.adx	"Yeah."
C04_017.adx	"Yeah."
C04_018.adx	"No."
C04_019.adx	"No!" (forceful)
C04_020.adx	"No!" (stronger)
C04_021.adx	"Kevin!"
C04_022.adx	"Kevin!" (forceful)
C04_023.adx	"Mark!"
C04_024.adx	"Mark!" (forceful)
C04_025.adx	"Jim!"
C04_026.adx	"Jim!" (forceful)
C04_027.adx	"George!"
C04_028.adx	"George!"(forceful)
C04_029.adx	"Alyssa!"
C04_030.adx	"Alyssa!"(forceful)
C04_031.adx	"Yoko!"
C04_032.adx	"Yoko!"(forceful)
C04_033.adx	"Cindy!"
C04_034.adx	"Cindy!"(forceful)
C04_035.adx	"Sorry."
C04_036.adx	"Sorry about that."
C04_037.adx	"Sorry."
C04_038.adx	"Finish me!"
C04_039.adx	"Kill me!"
C04_040.adx	"Finish me off!" (forceful)
C04_041.adx	"Hey!" (stronger)
C04_042.adx	"Hey you!"
C04_043.adx	"Hey!
C04_044.adx	"Yeah."
C04_045.adx	"That's right."
C04_046.adx	"You got it."
C04_047.adx	"Hmph..."
C04_048.adx	"I don't know."
C04_049.adx	"Maybe..."
C04_050.adx	"Yeah..."
C04_051.adx	"Right."
C04_052.adx	"Yep."
C04_053.adx	"What are you thinking?"
C04_054.adx	"Knock it off!"
C04_055.adx	"Quit screwing around!"
C04_056.adx	"What the hell happened?" (forceful)
