Biohazard Outbreak File 2
Jim voice files = NETBIO01.DAT -> adxsnd.afs -> vo00202.afs

Document created by hill73n
Document status: incomplete
To do: complete transcription; list file size and max space reserved.

vo00202.afs	Jim

C02_000.adx	"Come on!"
C02_001.adx	"Come on!" (forceful)
C02_002.adx	"Get over here!" 
C02_003.adx	"Go!"
C02_004.adx	"Go!" (forceful)
C02_005.adx	"Get moving!" (stronger)
C02_006.adx	"Help me!"
C02_007.adx	"Oh shit! Help!" (forceful)
C02_008.adx	"Somebody help me!" (desperate)
C02_009.adx	"Thanks."
C02_010.adx	"I owe you one."
C02_011.adx	"Thanks a lot."
C02_012.adx	"Wait!"
C02_013.adx	"Hold on for a sec!" (stronger)
C02_014.adx	"Just wait a minute!" (forceful)
C02_015.adx	"Yeah."
C02_016.adx	"Uh huh." (relieved)
C02_017.adx	"Mmm hmpf." (confident)
C02_018.adx	"No!"
C02_019.adx	"No way man!" (forceful)
C02_020.adx	"I don't think so!" (confident)
C02_021.adx	"Kevin!"
C02_022.adx	"Kevin!" (forceful)
C02_023.adx	"Mark!"
C02_024.adx	"Mark!" (forceful)
C02_025.adx	"George!"
C02_026.adx	"George!" (forceful)
C02_027.adx	"David!"
C02_028.adx	"David!" (forceful)
C02_029.adx	"Alyssa!"
C02_030.adx	"Alyssa!" (forceful)
C02_031.adx	"Yoko!"
C02_032.adx	"Yoko!" (forceful)
C02_033.adx	"Cindy!"
C02_034.adx	"Cindy!" (forceful)
C02_035.adx	"Sorry."
C02_036.adx	"My bad."
C02_037.adx	"I'm sorry." (apologetic)
C02_038.adx	"Please kill me!"
C02_039.adx	"Don't let me turn into one of them!"
C02_040.adx	"Kill me!"
C02_041.adx	"Hey!"
C02_042.adx	"Yo!" (forceful)
C02_043.adx	"Hey you! Over there! (stronger)
C02_044.adx	"Yeah!"
C02_045.adx	"Uh huh." (confident)
C02_046.adx	"Right." 
C02_047.adx	"Hmmm..."
C02_048.adx	"This is a tough one..."
C02_049.adx	"Uhnng..."
C02_050.adx	"Mmm hmpf."
C02_051.adx	"Yeah...well."
C02_052.adx	"Sounds right to me."
C02_053.adx	"What the fuck you doing?"
C02_054.adx	"What the hell you doing?"
C02_055.adx	"?"
C02_056.adx	"?" (forceful)
C02_057.adx	"?" (stronger)
C02_058.adx	"?"
C02_059.adx	""
C02_060.adx	""
C02_061.adx	""
C02_062.adx	""
C02_063.adx	""
C02_064.adx	""
C02_065.adx	""
C02_066.adx	"" (forceful)
C02_067.adx	""
C02_068.adx	""
C02_069.adx	"
C02_070.adx	"
C02_071.adx	"
C02_072.adx	"
