Biohazard Outbreak File 2
Mark voice files = NETBIO01.DAT -> adxsnd.afs -> vo00201.afs

Document created by hill73n
Document status: incomplete
To do: complete transcription; list file size and max space reserved.

vo00201.afs	Mark

C01_000.adx	"Come on!"
C01_001.adx	"Come on!" (forceful)
C01_002.adx	"Get over here!" 
C01_003.adx	"Go!"
C01_004.adx	"Go!" (forceful)
C01_005.adx	"Get moving!" (stronger)
C01_006.adx	"Help me!"
C01_007.adx	"Oh shit! Help!" (forceful)
C01_008.adx	"Somebody help me!" (desperate)
C01_009.adx	"Thanks."
C01_010.adx	"I owe you one."
C01_011.adx	"Thanks a lot."
C01_012.adx	"Wait!"
C01_013.adx	"Hold on for a sec!" (stronger)
C01_014.adx	"Just wait a minute!" (forceful)
C01_015.adx	"Yeah."
C01_016.adx	"Uh huh." (relieved)
C01_017.adx	"Mmm hmpf." (confident)
C01_018.adx	"No!"
C01_019.adx	"No way man!" (forceful)
C01_020.adx	"I don't think so!" (confident)
C01_021.adx	"Kevin!"
C01_022.adx	"Kevin!" (forceful)
C01_023.adx	"Jim!"
C01_024.adx	"Jim!" (forceful)
C01_025.adx	"George!"
C01_026.adx	"George!" (forceful)
C01_027.adx	"David!"
C01_028.adx	"David!" (forceful)
C01_029.adx	"Alyssa!"
C01_030.adx	"Alyssa!" (forceful)
C01_031.adx	"Yoko!"
C01_032.adx	"Yoko!" (forceful)
C01_033.adx	"Cindy!"
C01_034.adx	"Cindy!" (forceful)
C01_035.adx	"Sorry."
C01_036.adx	"My bad."
C01_037.adx	"I'm sorry." (apologetic)
C01_038.adx	"Please kill me!"
C01_039.adx	"Don't let me turn into one of them!"
C01_040.adx	"Kill me!"
C01_041.adx	"Hey!"
C01_042.adx	"Yo!" (forceful)
C01_043.adx	"Hey you! Over there! (stronger)
C01_044.adx	"Yeah!"
C01_045.adx	"Uh huh." (confident)
C01_046.adx	"Right." 
C01_047.adx	"Hmmm..."
C01_048.adx	"This is a tough one..."
C01_049.adx	"Uhnng..."
C01_050.adx	"Mmm hmpf."
C01_051.adx	"Yeah...well."
C01_052.adx	"Sounds right to me."
C01_053.adx	"What the fuck you doing?"
C01_054.adx	"What the hell you doing?"
C01_055.adx	"?"
C01_056.adx	"?" (forceful)
C01_057.adx	"?" (stronger)
C01_058.adx	"?"
C01_059.adx	""
C01_060.adx	""
C01_061.adx	""
C01_062.adx	""
C01_063.adx	""
C01_064.adx	""
C01_065.adx	""
C01_066.adx	"" (forceful)
C01_067.adx	""
C01_068.adx	""
C01_069.adx	"
C01_070.adx	"
C01_071.adx	"
C01_072.adx	"
C01_073.adx	"
C01_074.adx	"
C01_075.adx	"
C01_076.adx	"
C01_077.adx	"
C01_078.adx	"
C01_079.adx	"
C01_080.adx	"
C01_081.adx	"
C01_082.adx	"
C01_083.adx	"
C01_084.adx	"
